,Title,Company,Location,Salary,Description,Imported From
0,Data Engineer,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity of the judiciary.
The Role:
You will report to the lead data engineer and work in a wider team to develop courts, prisons and probation data using the MoJ’s analytical platform.
Show More",GlassDoor
1,Data Analyst,Her Majesty’s Prison and Probation Service,"Leeds, England",None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity
of the judiciary.
The Role:
Working as part of the Business Partnering Team (BPT) you’ll have ownership of the analytical relationships we share with partners, fully understanding the
Show More",GlassDoor
2,Data Scientist,Fuel Card Services,"Leeds, England",None,"Reporting to the Lead Data Scientist, this position will be responsible for leading the analytical capability that drives our pricing strategies. This is a key role in increasing growth through an iterative, data-driven test and learn approach across key aspects of the business.
HYBRID WORKING - 2 DAYS FROM HOME AND 3 DAYS IN OUR LOVELY NORTH LEEDS OFFICE.

Key responsibilities
A detailed segmentation of our customers that will enable us to understand and tailor our portfolio of products and drive our future strategy.
Utilise multiple data points to develop responsive pricing models that will optimise the value of our full suite of products
Show More",GlassDoor
3,Data Architect,Network Homes,"London, England",None,"Data Architect
Location: Wembley, London
Salary: £81,239
Duration: 12 Months Fixed Term Contract
Closing Date: Friday 11 March 2022

About Network Homes

We are a charitable housing association driven by social objectives to make a positive impact on the places we work in, for the long-term. We have an ambition to build a thousand new homes a year, deliver first class customer service and strengthen our residents trust in us as a landlord.

We own and manage over 20,000 homes across London, Hertfordshire and the South East and are a sector leader amongst the G15 group of London’s largest housing associations. We fundamentally believe in the importance to everyone of a safe, secure, and decent home.












Show More",GlassDoor
4,Data Engineer SQL - Flexible Working,clientserver,"Cambridge, East of England, England",None,"Data Engineer (Agile SQL Python). Would you thrive within a fast paced AI start-up where you'll be able to make your mark as a Data Engineer? As a Data Engineer you will be responsible for obtaining, processing and curating data from multiple sources and making it available for customers to use. Some of your day to day tasks will include; developing the existing data architecture, ensuring the infrastructure is able to support low latency access to large datasets, developing and maintaining database structures to support customers and writing code to obtain data from diverse sources.

The company offer flexible working with the opportunity to work from home on Monday's and Friday's. From Tuesday to Thursday you'll need to be in the Cambridge based office (10 minute walk from the train station). Requirements: *Previous experience within a Data Engineer role *Experience working with Agile methodologies *Strong understanding of tools, design methodologies and best practice *Excellent communication and collaboration skills *SQL, Oracle, Python, Azure (all desirable) As a Data Engineer you can expect to earn a competitive salary (up to £45k) plus benefits. Apply today or call to have a confidential discussion about this Data Engineer role.
Show More",GlassDoor
5,Data Scientist (Football),Pythia Sports,"London, England",None,"Data Scientist (Football)
Data Scientist - Football
Pythia Sports are looking for a creative thinking and experienced person to join their established in-house modelling team as a Data Scientist in football modelling and simulation. The purpose of the role is to develop and conduct statistical analysis of predictive models for a football prediction pipeline.
As a Data Scientist you will:
Have a deep understanding of the data, its limitations and meaning, including the investigation of data validity
Build and maintain data-driven predictive models
Research and apply novel modelling techniques

Show More",GlassDoor
6,Data Scientist,Arca Blanca,"London, England",None,"Arca Blanca is an integrated consulting and data company, specialising in business design and implementation. We bring together accomplished individuals from industry and consulting with experienced data-scientists and technologists to design and evolve business models that use data to drive better outcomes.
We combine a deep knowledge of how business operates with the transformative power of data-science to provide leaders with clear and actionable insight into what drives performance and growth within their business. We use these insights to evolve existing business practices and to design and implement new business models. As experts in business transformation, we know how to embed sustainable benefit to your people, processes and platforms. Smart design, improved decision making and a quicker more certain path to results lie at the core of what we do for our clients.
About the role:
We are looking to grow our team with a talented Senior Data Scientist to support the delivery of our data-driven business transformation programmes. The individual will work across a range of sectors, including identifying business improvement opportunities from an AI perspective.



Machine Learning, SQL, Python, Data Modeling, Data VisualisationMachine Learning, SQL, Python, Data Modeling, Data Visualisation, Big Data, Data Analysis
Show More",GlassDoor
7,Data Scientist,Holland and Barrett,Remote,None,"Do you want to make a difference by building a next-generation data processing and analytics platform in the cloud in a greenfield environment? Holland and Barrett is a successful business focusing on making people healthier and happier. We started in 1870 and today, we are a highly profitable global Health and Wellness retailer with more than 1,000 shops worldwide, and we are the largest health and wellness retailer in the UK.
About the role:
You will joining a small tech hub in Amsterdam with the view to help grow out this division over time. In the short-term, you will work closely with Data Engineers and Business Stakeholders to help deliver a key corporate project around Forecasting. This is a greenfield project about to start so you will benefit from being part of this team from day one.
Long-term, you will work on optimising and automating the Data Science workflow to build the basis for our prescriptive analytics and artificial intelligence strategy where self-optimising solutions make independent, intelligent decisions.





3 stages:
GCP, Machine Learning, SQL, KubernetesCloud Computing, AWS, R
Show More",GlassDoor
8,Social Media Insights Analyst (REMOTE),ICUC Social,"Bournemouth, England",None,"Insights Analysts
Bring YOUR passion to OUR team!
Do you love all things social media? Are you extremely detail-oriented and organized? Are you attracted to statistics and data-driven research? Would you like to help manage the online reputation of some of the world’s largest brands? If you answered yes, we have an exciting opportunity for you! ICUC Social is looking for an Insights Analyst to join our unique, remote team working with regulated industries (Alcohol, Tobacco, Financial, Pharmaceutical, and Healthcare)
This is an hourly position that would suit a recent graduate with proven experience or a candidate that wants to start their career in social media data analysis, get into digital marketing analytics.
Applicants must be prepared for a fast-paced, self-motivated, entrepreneurial lifestyle. You will be given the opportunity to work with a diverse group of people in a fun and ever-changing industry!
Show More",GlassDoor
9,Data Entry,Prime Appointments,"Witham, England",None,"A client of ours in Witham is needing a Data Entry Clerk / Administrator to join them initially an ongoing temporary basis with the potential to go permanent.
Working part time, three days a week with some flexibility around the hours of 8.00 - 16.00 / 8.30 - 16.30pm / 9.00 - 17.00
You will be entering confidential data from documents within time limits
Great attention to detail is required
Highly accurate
Data entry experience
Should you have Data Entry and admin experience and be available for work immediately please call Laura at Prime Appointments or apply to this role #officejobs
Show More",GlassDoor
